"What is the capital of France?",Paris
"What is the largest planet in our solar system?",Jupiter
"Who painted the Mona Lisa?",Leonardo da Vinci
"What is the chemical symbol for gold?",Au
"Which country won the FIFA World Cup in 2018?",France
"Who wrote the novel 'Pride and Prejudice'?",Jane Austen
"What is the tallest mountain in the world?",Mount Everest
"Who is the lead singer of the band Coldplay?",Chris Martin
"What is the national animal of Australia?",Kangaroo
"What is the square root of 25?",5
